"county","county_ascii","county_full","county_fips","state_id","state_name","lat","lng","population"
"Los Angeles","Los Angeles","Los Angeles County","06037","CA","California","34.3207","-118.2248","10081570"
"Cook","Cook","Cook County","17031","IL","Illinois","41.8401","-87.8168","5198275"
"Harris","Harris","Harris County","48201","TX","Texas","29.8577","-95.3936","4646630"
"Maricopa","Maricopa","Maricopa County","04013","AZ","Arizona","33.3490","-112.4915","4328810"
"San Diego","San Diego","San Diego County","06073","CA","California","33.0341","-116.7353","3316073"
"Orange","Orange","Orange County","06059","CA","California","33.7030","-117.7611","3168044"
"Miami-Dade","Miami-Dade","Miami-Dade County","12086","FL","Florida","25.6150","-80.5623","2699428"
"Dallas","Dallas","Dallas County","48113","TX","Texas","32.7666","-96.7779","2606868"
"Kings","Kings","Kings County","36047","NY","New York","40.6395","-73.9385","2589974"
"Riverside","Riverside","Riverside County","06065","CA","California","33.7437","-115.9938","2411439"
"Queens","Queens","Queens County","36081","NY","New York","40.7023","-73.8203","2287388"
"King","King","King County","53033","WA","Washington","47.4902","-121.8052","2195502"
"Clark","Clark","Clark County","32003","NV","Nevada","36.2152","-115.0135","2182004"
"San Bernardino","San Bernardino","San Bernardino County","06071","CA","California","34.8414","-116.1784","2149031"
"Tarrant","Tarrant","Tarrant County","48439","TX","Texas","32.7716","-97.2912","2049770"
"Bexar","Bexar","Bexar County","48029","TX","Texas","29.4489","-98.5200","1952843"
"Santa Clara","Santa Clara","Santa Clara County","06085","CA","California","37.2318","-121.6951","1927470"
"Broward","Broward","Broward County","12011","FL","Florida","26.1523","-80.4871","1926205"
"Wayne","Wayne","Wayne County","26163","MI","Michigan","42.2819","-83.2821","1757299"
"Alameda","Alameda","Alameda County","06001","CA","California","37.6469","-121.8889","1656754"
"New York","New York","New York County","36061","NY","New York","40.7781","-73.9675","1631993"
"Middlesex","Middlesex","Middlesex County","25017","MA","Massachusetts","42.4856","-71.3918","1600842"
"Philadelphia","Philadelphia","Philadelphia County","42101","PA","Pennsylvania","40.0077","-75.1339","1579075"
"Sacramento","Sacramento","Sacramento County","06067","CA","California","38.4493","-121.3443","1524553"
"Suffolk","Suffolk","Suffolk County","36103","NY","New York","40.8686","-72.8448","1483832"
"Palm Beach","Palm Beach","Palm Beach County","12099","FL","Florida","26.6476","-80.4655","1465027"
"Bronx","Bronx","Bronx County","36005","NY","New York","40.8500","-73.8660","1435068"
"Hillsborough","Hillsborough","Hillsborough County","12057","FL","Florida","27.9291","-82.3092","1422278"
"Nassau","Nassau","Nassau County","36059","NY","New York","40.7328","-73.5864","1356509"
"Orange","Orange","Orange County","12095","FL","Florida","28.5144","-81.3235","1349746"
"Franklin","Franklin","Franklin County","39049","OH","Ohio","39.9695","-83.0093","1290360"
"Oakland","Oakland","Oakland County","26125","MI","Michigan","42.6604","-83.3858","1253185"
"Cuyahoga","Cuyahoga","Cuyahoga County","39035","OH","Ohio","41.4245","-81.6586","1247451"
"Hennepin","Hennepin","Hennepin County","27053","MN","Minnesota","45.0046","-93.4769","1245837"
"Travis","Travis","Travis County","48453","TX","Texas","30.3347","-97.7820","1226805"
"Allegheny","Allegheny","Allegheny County","42003","PA","Pennsylvania","40.4688","-79.9812","1221744"
"Fairfax","Fairfax","Fairfax County","51059","VA","Virginia","38.8368","-77.2770","1145862"
"Contra Costa","Contra Costa","Contra Costa County","06013","CA","California","37.9191","-121.9278","1142251"
"Salt Lake","Salt Lake","Salt Lake County","49035","UT","Utah","40.6673","-111.9236","1133646"
"Mecklenburg","Mecklenburg","Mecklenburg County","37119","NC","North Carolina","35.2467","-80.8328","1074475"
"Wake","Wake","Wake County","37183","NC","North Carolina","35.7903","-78.6503","1069079"
"Montgomery","Montgomery","Montgomery County","24031","MD","Maryland","39.1363","-77.2042","1043530"
"Fulton","Fulton","Fulton County","13121","GA","Georgia","33.7903","-84.4670","1036200"
"Pima","Pima","Pima County","04019","AZ","Arizona","32.0974","-111.7899","1027207"
